2026-04-13 03:24:54,890 | INFO | src.modules.analysis.analysis_module | Executing Stage 1: Analysis...
2026-04-13 03:24:55,780 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2026-04-13 03:24:55,780 | ERROR | __main__ | Error in Analysis for campaign_1: OpenAI API error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************yrEA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-04-13 03:24:55,784 | ERROR | __main__ | Error in Recommendation for campaign_1: Analysis results not found in context. Ensure AnalysisModule ran first.
2026-04-13 03:24:55,880 | INFO | __main__ | --- Processing campaign_2 ---
2026-04-13 03:24:55,890 | INFO | src.modules.analysis.analysis_module | Executing Stage 1: Analysis...
2026-04-13 03:24:56,131 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2026-04-13 03:24:56,133 | ERROR | __main__ | Error in Analysis for campaign_2: OpenAI API error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************yrEA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-04-13 03:24:56,134 | ERROR | __main__ | Error in Recommendation for campaign_2: Analysis results not found in context. Ensure AnalysisModule ran first.
2026-04-13 03:24:56,134 | INFO | __main__ | All campaigns processed. Results available in: data/outputs/run_20260413_032453
2026-04-13 03:41:07,284 | INFO | root | Logging initialized.
2026-04-13 03:41:07,289 | INFO | root | Logging initialized.
2026-04-13 03:41:07,424 | INFO | __main__ | Initialized Run Folder: data/outputs/run_20260413_034107
2026-04-13 03:41:07,424 | INFO | src.core.pipeline_engine | Registered module: Ingestion
2026-04-13 03:41:07,424 | INFO | src.core.pipeline_engine | Registered module: Preprocessing
2026-04-13 03:41:07,424 | INFO | __main__ | Executing Preparation Phase (Ingestion & Preprocessing)...
2026-04-13 03:41:07,424 | INFO | src.core.pipeline_engine | Starting pipeline execution...
2026-04-13 03:41:07,424 | INFO | src.core.pipeline_engine | Running module: Ingestion
2026-04-13 03:41:07,443 | INFO | src.core.pipeline_engine | Running module: Preprocessing
2026-04-13 03:41:07,461 | INFO | src.core.pipeline_engine | Pipeline execution finished.
2026-04-13 03:41:07,462 | INFO | __main__ | Limiting execution to first 1 rows.
2026-04-13 03:41:08,112 | INFO | __main__ | Starting Granular Processing for 1 campaigns...
2026-04-13 03:41:08,113 | INFO | __main__ | --- Processing campaign_1 ---
2026-04-13 03:41:08,119 | INFO | src.modules.analysis.analysis_module | Executing Stage 1: Analysis...
2026-04-13 03:41:08,871 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
